FormalPRRCompanion/AxiomsReportCompanion.lean:12:0: 'FormalPRR.SeedConditioning.frobSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:13:0: 'FormalPRR.SeedConditioning.discr_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:14:0: 'FormalPRR.SeedConditioning.discr_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:15:0: 'FormalPRR.SeedConditioning.sqrt_discr_le_frobSq' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:16:0: 'FormalPRR.SeedConditioning.sigmaMinSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:17:0: 'FormalPRR.SeedConditioning.sigmaMaxSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:18:0: 'FormalPRR.SeedConditioning.sigmaMin_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:19:0: 'FormalPRR.SeedConditioning.sigmaMax_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:20:0: 'FormalPRR.SeedConditioning.sigmaMin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:21:0: 'FormalPRR.SeedConditioning.sigmaMax_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:22:0: 'FormalPRR.SeedConditioning.sq_add_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:23:0: 'FormalPRR.SeedConditioning.sigmaMinSq_mul_sigmaMaxSq' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:24:0: 'FormalPRR.SeedConditioning.sigmaMin_mul_sigmaMax' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:25:0: 'FormalPRR.SeedConditioning.sigmaMin_le_sigmaMax' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:26:0: 'FormalPRR.SeedConditioning.sigmaMin_eq_abs_det_div' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:27:0: 'FormalPRR.SeedConditioning.sigmaMax_le_frobNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
FormalPRRCompanion/AxiomsReportCompanion.lean:28:0: 'FormalPRR.SeedConditioning.singularValues_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
